,Match_No,Team1,Team2,Home_Pos,Home_Neg,Away_Pos,Away_Neg,result
50,51,GT,MI,0.3116883116883117,0.05844155844155844,0.26588235294117646,0.07411764705882352,1
51,52,PBKS,RR,0.19117647058823528,0.11764705882352941,0.4036144578313253,0.12951807228915663,1
52,53,LSG,KKR,0.3023255813953488,0.09302325581395349,0.275,0.15,0
53,54,SRH,RCB,0.2254335260115607,0.09826589595375723,0.3617021276595745,0.16489361702127658,1
54,55,CSK,DC,0.3018867924528302,0.1320754716981132,0.30158730158730157,0.042328042328042326,0
55,56,MI,KKR,0.44395924308588064,0.14556040756914118,0.16083916083916083,0.024475524475524476,1
56,57,LSG,GT,0.4117647058823529,0.058823529411764705,0.36633663366336633,0.09900990099009901,1
57,58,RR,DC,0.5165876777251185,0.11374407582938388,0.3076923076923077,0.055944055944055944,1
58,59,CSK,MI,0.25146198830409355,0.14619883040935672,0.45445344129554655,0.11234817813765183,1
59,60,RCB,PBKS,0.40372670807453415,0.10559006211180125,0.40625,0.078125,1
60,61,KKR,SRH,0.37037037037037035,0.16049382716049382,0.44871794871794873,0.1282051282051282,0
61,62,CSK,GT,0.30578512396694213,0.10743801652892562,0.5521472392638037,0.09202453987730061,1
62,63,LSG,RR,0.5757575757575758,0.07575757575757576,0.49174917491749176,0.1419141914191419,1
63,64,PBKS,DC,0.32407407407407407,0.06481481481481481,0.36312849162011174,0.055865921787709494,1
64,65,MI,SRH,0.4489795918367347,0.1251700680272109,0.3058823529411765,0.08235294117647059,1
65,66,KKR,LSG,0.3581081081081081,0.05405405405405406,0.42424242424242425,0.030303030303030304,1
66,67,RCB,GT,0.4807692307692308,0.028846153846153848,0.46511627906976744,0.09302325581395349,0
67,68,RR,CSK,0.43410852713178294,0.09302325581395349,0.42696629213483145,0.11235955056179775,0
68,69,MI,DC,0.33217993079584773,0.06805074971164937,0.4297872340425532,0.04680851063829787,0
69,70,SRH,PBKS,0.4418604651162791,0.16279069767441862,0.4,0.1,1
70,71,GT,RR,0.3743016759776536,0.054003724394785846,0.33158995815899583,0.06589958158995816,0
71,72,LSG,RCB,0.3968253968253968,0.06349206349206349,0.38738738738738737,0.04954954954954955,1
72,73,RR,RCB,0.3691275167785235,0.0894854586129754,0.23106332138590202,0.051931501393866986,0
73,74,GT,RR,0.4119338605319914,0.06182602444284687,0.2241552971339621,0.05384122333119678,0
